Director_Name,Director_ID
Christopher Nolan,0
Ridley Scott,0
Tom Hanks,0
John Krananski,0
Stephen Spielburg,0
Peter Burg,0
George Lucas,0
Dennis Villeneuve,0
Chris Sanders,0
Brad Bird,0
Anthony Russo,0
Joe Johnston,0
Peyton Reed,0
Jon Favreau,0
Shane Black,0
Ben Affleck,0
Robert Zemeckis,0
Damien Chazelle,0
Mel Gibson,0
James Marsh,0
Alejandro Gonzalez Inarritu,0
Bryan Singer,0
John Lee Hancock,0
Francis Ford Coppola,0
Todd Phillips,0
Ryan Coogler,0
James Cameron,0
Sam Mendes,0
Cary Joji Fukunaga,0
James Mangold,0
Craig Gillespie,0
